"","game_year","player_name","arm_angle","arm_slot","throws","pitch_name","avg_pitch_velo","avg_release_spin","height"
"11828",2019,"Wei-Yin Chen",42.79,"Three-Quarters","L","4-Seam Fastball",91.36,2138.21,6
"11829",2019,"Wei-Yin Chen",38.97,"Three-Quarters","L","Curveball",74.08,2298.54,6
"11830",2019,"Blaine Hardy",44,"Three-Quarters","L","Curveball",76.56,1951.37,6.17
"11831",2019,"Jorge Lopez",49.81,"Three-Quarters","R","Slider",88.32,2193.17,6.17
"11832",2019,"Jorge Lopez",46.57,"Three-Quarters","R","Knuckle Curve",81.66,2446.16,6.17
"11833",2019,"Jorge Lopez",47.77,"Three-Quarters","R","2-Seam Fastball",93.74,1877.07,6.17
"11834",2019,"Scott Alexander",38.47,"Three-Quarters","L","Slider",84.25,2318.75,6.17
"11835",2019,"Jorge Lopez",47.72,"Three-Quarters","R","4-Seam Fastball",94.26,1943.56,6.17
"11836",2019,"Ryne Stanek",25.44,"Overhand","R","Slider",89.66,2254.6,6.33
"11837",2019,"Shawn Armstrong",62.29,"Three-Quarters","R","4-Seam Fastball",93.33,2524.63,6.17
"11838",2019,"Donnie Hart",95.74,"Submarine","L","Slider",76.64,2561.97,5.92
"11839",2019,"Donnie Hart",93.5,"Submarine","L","Sinker",86.91,2049.43,5.92
"11840",2019,"Donnie Hart",96.69,"Submarine","L","Changeup",80.64,2138.75,5.92
"11841",2019,"Shawn Armstrong",59.62,"Three-Quarters","R","Slider",82.89,2858.71,6.17
"11842",2019,"Stephen Strasburg",60.65,"Three-Quarters","R","4-Seam Fastball",93.87,2166.41,6.42
"11843",2019,"Blaine Hardy",50.38,"Three-Quarters","L","Cutter",86.11,2359.99,6.17
"11844",2019,"Shawn Armstrong",61.35,"Three-Quarters","R","Cutter",89.87,2596.77,6.17
"11845",2019,"Stephen Strasburg",61.06,"Three-Quarters","R","Curveball",81.16,2768.02,6.42
"11846",2019,"Robert Gsellman",39.91,"Three-Quarters","R","4-Seam Fastball",95.67,2202.45,6.33
"11847",2019,"Will Harris",32.24,"Three-Quarters","R","4-Seam Fastball",91.95,2515.91,6.33
"11848",2019,"Stephen Strasburg",61.44,"Three-Quarters","R","Changeup",87.72,1676.45,6.42
"11849",2019,"Clayton Kershaw",37.33,"Three-Quarters","L","Slider",86.93,2667,6.33
"11850",2019,"Reynaldo Lopez",44.31,"Three-Quarters","R","4-Seam Fastball",95.4,2135.98,6.08
"11851",2019,"Clayton Kershaw",28.31,"Overhand","L","Curveball",73.49,2459.72,6.33
"11852",2019,"Cody Anderson",48.05,"Three-Quarters","R","Changeup",85.89,2235.78,6.33
"11853",2019,"Reynaldo Lopez",45.7,"Three-Quarters","R","Slider",84.32,2115.87,6.08
